iter	Logloss
0	0.5764092485
1	0.4905446479
2	0.4145458801
3	0.3546878702
4	0.3015942611
5	0.2593690036
6	0.2254487888
7	0.1939546779
8	0.1694886676
9	0.1527761116
10	0.1360070261
11	0.1255033039
12	0.1142601946
13	0.106318868
14	0.09974264794
15	0.09406678288
16	0.08761187008
17	0.08325157637
18	0.07779099151
19	0.07575776311
20	0.07254539339
21	0.07008296657
22	0.06690904851
23	0.06525794701
24	0.06326735245
25	0.06158606549
26	0.06004330975
27	0.05919125275
28	0.0577660887
29	0.05656300848
30	0.05501019834
31	0.05422051426
32	0.05351747053
33	0.05246042312
34	0.05156964997
35	0.05101607294
36	0.05016594654
37	0.04939943141
38	0.04876574118
39	0.04774217215
40	0.04726556951
41	0.04689998407
42	0.04652998032
43	0.04603622427
44	0.04569286757
45	0.04546978448
46	0.0452342043
47	0.0448340816
48	0.0442142272
49	0.04399891548
50	0.04376975177
51	0.04338634356
52	0.04281744453
53	0.04253511336
54	0.04234243515
55	0.0420319707
56	0.04179535612
57	0.0412966737
58	0.0410878412
59	0.04079957754
60	0.04057755069
61	0.04038571164
62	0.04020011522
63	0.0399725287
64	0.03980675997
65	0.03961161851
66	0.03941335527
67	0.03920755471
68	0.0389954414
69	0.03880983372
70	0.03863237532
71	0.03845505796
72	0.03831135872
73	0.03818806752
74	0.03794883778
75	0.03781812672
76	0.03761218213
77	0.03738251919
78	0.03719768596
79	0.03706128349
80	0.03691009001
81	0.03672153063
82	0.03657417041
83	0.03645755382
84	0.03631371345
85	0.03616558147
86	0.036038479
87	0.03586899283
88	0.03565269175
89	0.03552387542
90	0.03538903639
91	0.03530030987
92	0.03515297115
93	0.03505840165
94	0.03487483625
95	0.03478858645
96	0.03466192686
97	0.03447370494
98	0.03428918965
99	0.0341138325
100	0.03395066231
101	0.0337728685
102	0.03365058159
103	0.03351997903
104	0.03338032643
105	0.03324463539
106	0.03310916746
107	0.03300585573
108	0.03272471627
109	0.03259294592
110	0.03251954667
111	0.03246322146
112	0.03235001558
113	0.03225123876
114	0.03201746249
115	0.03189498451
116	0.03180212374
117	0.03173801917
118	0.03167670293
119	0.0316098558
120	0.03140816344
121	0.03123459297
122	0.03114062364
123	0.03087764422
124	0.0307931902
125	0.03072048112
126	0.03065444686
127	0.03057134766
128	0.03049560357
129	0.03040796347
130	0.03033271003
131	0.03021612995
132	0.0300714354
133	0.02996819182
134	0.02985381221
135	0.02973184099
136	0.02961984278
137	0.02953693807
138	0.02947039015
139	0.02935865482
140	0.02924847921
141	0.02919647076
142	0.02911292878
143	0.02903106023
144	0.02894431313
145	0.02884040445
146	0.0287327825
147	0.02868254944
148	0.0286070634
149	0.02853306067
150	0.02847808842
151	0.02843385044
152	0.02827040324
153	0.02816844055
154	0.02807930757
155	0.02798897098
156	0.02786383269
157	0.02781265996
158	0.02771434456
159	0.02763757561
160	0.02753815144
161	0.02745463713
162	0.02732929109
163	0.02723975273
164	0.02717784096
165	0.02706827499
166	0.02697709374
167	0.02691886653
168	0.02685525404
169	0.02677299502
170	0.02664314362
171	0.02645289059
172	0.02638405565
173	0.02623444367
174	0.02616797241
175	0.02607756253
176	0.0259864468
177	0.02586483429
178	0.02568408729
179	0.02557302435
180	0.02547181489
181	0.0253820293
182	0.02530847604
183	0.02526983983
184	0.0251721869
185	0.02510749341
186	0.02496750325
187	0.02489115891
188	0.02476932173
189	0.02458159601
190	0.02450439853
191	0.02446094485
192	0.02440503584
193	0.02434082423
194	0.02427495754
195	0.02420317082
196	0.02414179902
197	0.02409218589
198	0.02403507662
199	0.0238873383
200	0.02381573822
201	0.02374970465
202	0.02363959605
203	0.02357184748
204	0.02347840339
205	0.02341052802
206	0.02325165409
207	0.02320915803
208	0.02313245348
209	0.02307851481
210	0.02302433932
211	0.02296296367
212	0.02287767627
213	0.02281146762
214	0.02270262026
215	0.02263822754
216	0.02257955746
217	0.02244595819
218	0.02230574625
219	0.02222119324
220	0.02216785417
221	0.02208223085
222	0.02203459882
223	0.0219967276
224	0.02190902422
225	0.02182175608
226	0.021770377
227	0.02173330599
228	0.02167947848
229	0.02161812875
230	0.02152181282
231	0.02143530917
232	0.02137903324
233	0.02135367799
234	0.02131796187
235	0.02123916619
236	0.02115574254
237	0.02110771042
238	0.02102849199
239	0.02098094833
240	0.02086709589
241	0.02080922424
242	0.02074372496
243	0.02058111694
244	0.02043467228
245	0.0203965451
246	0.02035473591
247	0.02030477986
248	0.02025686414
249	0.02012134033
250	0.02006932279
251	0.02002221741
252	0.01994839623
253	0.01985208065
254	0.01982080459
255	0.01975589652
256	0.01971812072
257	0.01966608374
258	0.01962856014
259	0.01958106013
260	0.01955034171
261	0.01944253196
262	0.01939442008
263	0.01930277407
264	0.01925743047
265	0.01914451171
266	0.01907441446
267	0.01902475004
268	0.01896686384
269	0.01892214759
270	0.01888697073
271	0.01882099442
272	0.01871879848
273	0.01864533171
274	0.01861181763
275	0.01858120139
276	0.01851919783
277	0.01847865557
278	0.01842983183
279	0.01835143355
280	0.01822056429
281	0.0181808397
282	0.01811239765
283	0.01804184505
284	0.01800733921
285	0.01797768607
286	0.01791226258
287	0.0178554548
288	0.01780463261
289	0.01773514998
290	0.01770005872
291	0.01763610481
292	0.0175822339
293	0.01752861528
294	0.01749957071
295	0.01745306484
296	0.01740428446
297	0.01735025886
298	0.01728625383
299	0.01723681409
